	FID	OBJECTID	AREA	PERIMETER	STATE	COUNTY	TRACT	CT_ID	LOGRECNO	BLK_COUNT	DRY_PCT	DRY_ACRES	DRY_SQMI	DRY_SQKM	SHAPE_AREA	SHAPE_LEN	HOODS_PD_I	Nbhd	NbhdCRM	NSA_ID_1	NSA_NAME	UniqueID	UniqueID_1	CT_ID_1	Nbhd_1	B19013_Med	WALKABILIT	Quality_of	TRACT-formatted
14	boston_income_73g.15	1056	257921.323	2682.151	25	25	40100	25025040100	15323	31	1.0	63.73	0.1	0.258	257920.8787	2682.138124	13	Charlestown	Charlestown	6	Thompson Sq/Bunker Hill	0	15	25025040100.0	Charlestown	108269	8.155302	15.363085	040100
15	boston_income_73g.16	1057	140499.551	2202.022	25	25	40200	25025040200	15326	34	1.0	34.72	0.054	0.14	140499.5282	2202.031319	13	Charlestown	Charlestown	6	Thompson Sq/Bunker Hill	0	16	25025040200.0	Charlestown	49918	9.240007	8.924104	040200
16	boston_income_73g.17	1058	270279.742	2952.509	25	25	40300	25025040300	15329	45	1.0	66.79	0.104	0.27	270279.6585	2952.492376	13	Charlestown	Charlestown	6	Thompson Sq/Bunker Hill	0	17	25025040300.0	Charlestown	108709	11.106767	14.916751	040300
17	boston_income_73g.18	1059	455285.905	4313.647	25	25	40400	25025040400	15335	42	0.9359	105.3	0.165	0.426	455285.5876	4313.635801	13	Charlestown	Charlestown	6	Thompson Sq/Bunker Hill	0	18	25025040400.0	Charlestown	58567	5.189542	13.594468	040400
18	boston_income_73g.19	1062	286377.193	3334.371	25	25	50100	25025050100	15346	19	1.0	70.77	0.111	0.286	286376.4964	2873.193556	14	East Boston	East Boston	24	Eagle Hill	0	19	25025050100.0	East Boston	30473	6.346266	7.2154	050100
19	boston_income_73g.20	1063	249652.698	2949.199	25	25	50200	25025050200	15350	17	1.0	61.69	0.096	0.25	249653.0017	2925.645547	14	East Boston	East Boston	24	Eagle Hill	0	20	25025050200.0	East Boston	49889	7.847726	4.282746	050200
20	boston_income_73g.21	1065	131305.767	1708.09	25	25	50400	25025050400	15358	14	1.0	32.45	0.051	0.131	131305.0589	1708.094458	14	East Boston	East Boston	26	Jeffries Point/Airport	0	21	25025050400.0	East Boston	50304	8.422944	8.34243	050400
21	boston_income_73g.22	1066	118709.934	1444.855	25	25	50500	25025050500	15361	8	1.0	29.33	0.046	0.119	118709.4773	1386.555712	14	East Boston	East Boston	26	Jeffries Point/Airport	0	22	25025050500.0	East Boston	37274	7.143408	7.156281	050500
22	boston_income_73g.23	1071	2445494.15	8859.752	25	25	51100	25025051100	15378	53	0.9983	603.26	0.943	2.441	2445491.26	8237.024295	14	East Boston	East Boston	25	Harbor View/Orient Heights	0	23	25025051100.0	East Boston	58290	2.795876	10.276031	051100
23	boston_income_73g.24	1074	180865.701	2448.511	25	25	60200	25025060200	15392	18	1.0	44.69	0.07	0.181	180866.1258	2448.514648	5	South Boston	South Boston	56	City Point	0	24	25025060200.0	South Boston	82188	6.14113	15.378097	060200
24	boston_income_73g.25	1075	289730.844	2859.64	25	25	60300	25025060300	15395	24	1.0	71.59	0.112	0.29	289730.5461	2859.651857	5	South Boston	South Boston	60	Telegraph Hill	0	25	25025060300.0	South Boston	83178	5.193899	15.392593	060300
25	boston_income_73g.26	1079	125075.308	1430.968	25	25	60700	25025060700	15414	16	1.0	30.91	0.048	0.125	125075.7422	1430.980998	5	South Boston	South Boston	58	D Street/West Broadway	0	26	25025060700.0	South Boston	19250	6.660024	7.752944	060700
26	boston_income_73g.27	1081	177155.12	1886.611	25	25	61000	25025061000	15422	20	1.0	43.78	0.068	0.177	177155.4482	1886.620209	5	South Boston	South Boston	57	Columbus Park/Andrew Sq	0	27	25025061000.0	South Boston	23963	6.503622	3.677063	061000
27	boston_income_73g.28	1084	1244987.366	6047.135	25	25	70100	25025070100	15433	126	0.9977	306.93	0.48	1.242	1244988.749	6047.131251	17	Financial District	Boston	21	Downtown/Central/West End	0	28	25025070100.0	Financial District	46591	8.495823	7.321325	070100
28	boston_income_73g.29	1087	239237.531	2254.708	25	25	70400	25025070400	15445	30	1.0	59.12	0.092	0.239	239237.4904	2254.695467	3	South End	Boston	61B	South End - Shawmut	0	29	25025070400.0	South End	16486	6.098812	8.046421	070400
29	boston_income_73g.30	1089	133309.243	1716.189	25	25	70600	25025070600	15452	10	1.0	32.94	0.051	0.133	133309.4613	1716.190108	3	South End	Boston	61A	South End - Columbus	0	30	25025070600.0	South End	94250	5.96439	14.839586	070600
30	boston_income_73g.31	1091	194928.39	1896.318	25	25	70800	25025070800	15458	19	1.0	48.17	0.075	0.195	194926.2536	1896.298735	3	South End	Boston	61A	South End - Columbus	0	31	25025070800.0	South End	54466	6.955792	10.519587	070800
31	boston_income_73g.32	1094	432542.258	3445.83	25	25	71200	25025071200	15469	30	1.0	106.88	0.167	0.433	432543.827	3445.835477	3	South End	Boston	61C	South End - Harrison Lenox	0	32	25025071200.0	South End	35360	4.147449	6.643784	071200
32	boston_income_73g.33	1097	318182.349	2808.044	25	25	80400	25025080400	15479	31	1.0	78.62	0.123	0.318	318182.411	2808.041725	4	Roxbury	Roxbury	53	Lower Roxbury	0	33	25025080400.0	Roxbury	28750	4.825532	7.945179	080400
33	boston_income_73g.34	1100	161496.226	1765.183	25	25	80800	25025080800	15490	17	1.0	39.91	0.062	0.161	161495.1246	1765.184847	6	Mission Hill	Mission Hill	46	Mission Hill Projects	0	34	25025080800.0	Mission Hill	19000	5.355417	10.419623	080800
34	boston_income_73g.35	1024	590255.484	3929.832	25	25	202	25025000202	15177	26	1.0	145.86	0.228	0.59	590256.2189	3929.825335	11	Allston-Brighton	Allston-Brighton	2A	Brighton - Oak Square	0	35	25025000202.0	Allston-Brighton	67957	4.613803	11.49349	000202
35	boston_income_73g.36	1025	661436.053	4091.818	25	25	301	25025000301	15182	25	0.964	157.55	0.246	0.638	661435.7448	4091.796865	11	Allston-Brighton	Allston-Brighton	2A	Brighton - Oak Square	0	36	25025000301.0	Allston-Brighton	79920	3.79782	14.127682	000301
36	boston_income_73g.37	1027	442256.76	2914.109	25	25	401	25025000401	15190	20	1.0	109.28	0.171	0.442	442257.0324	2914.094417	11	Allston-Brighton	Allston-Brighton	2B	Brighton - St Elizabeth's	0	37	25025000401.0	Allston-Brighton	45155	5.116847	11.529124	000401
37	boston_income_73g.38	1028	808066.762	3638.454	25	25	402	25025000402	15195	25	1.0	199.68	0.312	0.808	808065.2169	3638.44687	11	Allston-Brighton	Allston-Brighton	2B	Brighton - St Elizabeth's	0	38	25025000402.0	Allston-Brighton	79757	3.509522	14.303591	000402
38	boston_income_73g.39	1030	1204211.316	5610.98	25	25	502	25025000502	15206	26	0.7651	227.66	0.356	0.921	1204216.188	5610.978853	11	Allston-Brighton	Allston-Brighton	3B	Commonwealth - Cleveland Cir	0	39	25025000502.0	Allston-Brighton	53663	2.441228	9.068416	000502
39	boston_income_73g.40	1031	505371.209	4741.424	25	25	601	25025000601	15211	38	1.0	124.88	0.195	0.505	505368.7144	4741.404855	11	Allston-Brighton	Allston-Brighton	2A	Brighton - Oak Square	0	40	25025000601.0	Allston-Brighton	62198	5.147402	11.63045	000601
40	boston_income_73g.41	1033	221166.879	2163.811	25	25	701	25025000701	15220	23	1.0	54.65	0.085	0.221	221167.6845	2163.822333	11	Allston-Brighton	Allston-Brighton	3A	Commonwealth - Kelton St	0	41	25025000701.0	Allston-Brighton	55773	8.770352	8.407557	000701
41	boston_income_73g.42	1035	1491173.443	7409.137	25	25	801	25025000801	15233	26	0.8966	330.39	0.516	1.337	1491172.34	7409.133061	11	Allston-Brighton	Allston-Brighton	1	Allston	0	42	25025000801.0	Allston-Brighton	23171	2.400354	9.478482	000801
42	boston_income_73g.43	1036	963393.703	6259.835	25	25	802	25025000802	15236	55	1.0	238.06	0.372	0.963	963392.5423	6259.829878	11	Allston-Brighton	Allston-Brighton	1	Allston	0	43	25025000802.0	Allston-Brighton	40991	5.301851	6.455747	000802
43	boston_income_73g.44	1038	448997.438	3091.543	25	25	10102	25025010102	15247	24	0.8523	94.57	0.148	0.383	448996.3273	3091.538658	12	Fenway	Boston	28	Kenmore	0	44			0	0.0	0.0	010102
44	boston_income_73g.45	1039	554310.146	4224.8	25	25	10201	25025010201	15251	33	0.9557	130.9	0.205	0.53	554313.9012	4224.79295	12	Fenway	Boston	29	West Fens	0	45	25025010201.0	Fenway	43957	5.815658	9.91506	010201
45	boston_income_73g.46	1041	791163.825	5250.274	25	25	10300	25025010300	15260	31	1.0	195.5	0.305	0.791	791156.9821	5250.260141	12	Fenway	Boston	45	Medical Center Area	0	46	25025010300.0	Fenway	15956	3.943975	4.608899	010300
46	boston_income_73g.47	1043	479911.75	5715.843	25	25	10402	25025010402	15268	21	0.95	112.66	0.176	0.456	479914.2213	5715.837508	12	Fenway	Boston	27	Fenway	0	47	25025010402.0	Fenway	14722	4.312066	10.553086	010402
47	boston_income_73g.48	1045	348261.305	3080.249	25	25	10600	25025010600	15276	18	1.0	86.06	0.134	0.348	348261.4869	3080.266515	16	Back Bay	Boston	4D	Prudential/St Botolph	0	48	25025010600.0	Back Bay	78523	7.508899	12.274003	010600
48	boston_income_73g.49	1046	500648.567	3843.226	25	25	10700	25025010700	15279	37	1.0	123.71	0.193	0.501	500648.8882	3843.220093	16	Back Bay	Boston	4B	Back Bay East	0	49	25025010700.0	Back Bay	87464	10.98751	14.024741	010700
49	boston_income_73g.50	1048	441921.486	3157.717	25	25	20100	25025020100	15293	39	0.7421	81.04	0.127	0.328	441924.1291	3157.70785	16	Back Bay	Boston	4A	Beacon Hill	0	50	25025020100.0	Back Bay	102669	6.833739	19.12919	020100
50	boston_income_73g.51	1050	1014716.733	4891.324	25	25	20300	25025020300	15302	66	0.8288	207.8	0.325	0.841	1014716.198	4891.312104	16	Back Bay	Boston	21	Downtown/Central/West End	0	51	25025020300.0	Back Bay	81397	5.198139	13.180678	020300
51	boston_income_73g.52	1051	75818.73	1201.12	25	25	30100	25025030100	15306	16	1.0	18.74	0.029	0.076	75818.5734	1201.110591	17	Financial District	Boston	48	North End/Waterfront	0	52	25025030100.0	Financial District	52321	15.255092	10.802389	030100
52	boston_income_73g.53	1067	174478.86	2001.172	25	25	50600	25025050600	15363	26	1.0	43.11	0.067	0.174	174479.2615	1865.336907	14	East Boston	East Boston	23	Central-Maverick Sq/Paris St	0	58	25025050600.0	East Boston	43304	6.541368	8.983482	050600
53	boston_income_73g.54	1068	267647.348	2695.61	25	25	50700	25025050700	15366	19	1.0	66.14	0.103	0.268	267646.3976	2528.049206	14	East Boston	East Boston	23	Central-Maverick Sq/Paris St	0	59	25025050700.0	East Boston	55102	6.577271	7.377496	050700
54	boston_income_73g.55	1053	735925.644	6794.168	25	25	30300	25025030300	15311	82	1.0	181.85	0.284	0.736	735926.8727	6794.127163	17	Financial District	Boston	21	Downtown/Central/West End	0	53	25025030300.0	Financial District	100993	9.079816	14.170286	030300
55	boston_income_73g.56	1054	108536.588	1865.508	25	25	30400	25025030400	15316	20	1.0	26.82	0.042	0.109	108535.574	1865.507764	17	Financial District	Boston	48	North End/Waterfront	0	54	25025030400.0	Financial District	65375	12.508383	14.464283	030400
56	boston_income_73g.57	1060	1349944.547	9201.036	25	25	40600	25025040600	15338	81	0.9955	332.09	0.519	1.344	1349941.954	9201.002319	13	Charlestown	Charlestown	5	Medford St/The Neck	0	55	25025040600.0	Charlestown	97250	4.319437	14.541768	040600
57	boston_income_73g.58	1061	957210.178	10984.955	25	25	40800	25025040800	15342	35	0.976	230.86	0.361	0.934	957217.3496	10984.95333	13	Charlestown	Charlestown	6	Thompson Sq/Bunker Hill	0	56	25025040800.0	Charlestown	38672	3.751413	7.816872	040800
58	boston_income_73g.59	1064	343198.865	6595.777	25	25	50300	25025050300	15355	14	1.0	84.81	0.133	0.343	343200.6633	6595.790296	14	East Boston	East Boston	23	Central-Maverick Sq/Paris St	0	57	25025050300.0	East Boston	16445	3.465067	5.103721	050300
59	boston_income_73g.60	1069	557078.54	5672.457	25	25	50900	25025050900	15370	43	1.0	137.66	0.215	0.557	557075.7912	5645.16025	14	East Boston	East Boston	24	Eagle Hill	0	60	25025050900.0	East Boston	40370	4.366248	5.817108	050900
60	boston_income_73g.61	1070	1078408.57	6500.157	25	25	51000	25025051000	15374	42	0.9998	266.43	0.416	1.078	1078408.712	6207.201325	14	East Boston	East Boston	25	Harbor View/Orient Heights	0	61	25025051000.0	East Boston	43813	3.501178	10.667928	051000
61	boston_income_73g.62	1072	7052699.346	21540.678	25	25	51200	25025051200	15383	40	0.8542	1488.72	2.326	6.025	7052694.406	21382.04186	14	East Boston	East Boston	26	Jeffries Point/Airport	0	62	25025051200.0	East Boston	42089	1.932005	11.527257	051200
62	boston_income_73g.63	1073	1238842.857	9150.596	25	25	60100	25025060100	15387	31	1.0	306.12	0.478	1.239	1238839.397	9150.621893	5	South Boston	South Boston	56	City Point	0	63	25025060100.0	South Boston	69794	2.596482	17.241127	060100
63	boston_income_73g.64	1076	457055.777	3100.363	25	25	60400	25025060400	15400	37	1.0	112.94	0.176	0.457	457057.9999	3100.38224	5	South Boston	South Boston	60	Telegraph Hill	0	64	25025060400.0	South Boston	68800	5.329297	14.418882	060400
64	boston_income_73g.65	1077	980032.693	6515.758	25	25	60500	25025060500	15406	37	1.0	242.17	0.378	0.98	980028.9789	6515.733921	5	South Boston	South Boston	58	D Street/West Broadway	0	65	25025060500.0	South Boston	85385	3.210278	14.286327	060500
65	boston_income_73g.66	1088	302005.239	2842.679	25	25	70500	25025070500	15447	42	1.0	74.63	0.117	0.302	302004.0954	2842.684772	3	South End	Boston	61B	South End - Shawmut	0	72	25025070500.0	South End	66250	9.690297	11.826141	070500
66	boston_income_73g.67	1078	1741755.09	11555.267	25	25	60600	25025060600	15412	65	1.0	430.4	0.672	1.742	1741753.85	11221.71454	5	South Boston	South Boston	58	D Street/West Broadway	0	66	25025060600.0	South Boston	76328	3.213495	13.217057	060600
67	boston_income_73g.68	1080	337622.122	2834.839	25	25	60800	25025060800	15417	49	1.0	83.43	0.13	0.338	337622.9491	2834.851424	5	South Boston	South Boston	58	D Street/West Broadway	0	67	25025060800.0	South Boston	73818	6.239485	13.318237	060800
68	boston_income_73g.69	1082	569292.126	3917.49	25	25	61100	25025061100	15426	20	1.0	140.68	0.22	0.569	569290.614	3917.501298	5	South Boston	South Boston	57	Columbus Park/Andrew Sq	0	68	25025061100.0	South Boston	10250	2.859196	6.793771	061100
69	boston_income_73g.77	1096	271521.433	2648.085	25	25	80300	25025080300	15476	17	1.0	67.09	0.105	0.272	271520.2109	2648.076807	4	Roxbury	Roxbury	54	Sav-Mor	0	77	25025080300.0	Roxbury	27667	4.805826	5.622949	080300
70	boston_income_73g.70	1083	1833112.291	7876.789	25	25	61200	25025061200	15429	98	1.0	452.97	0.708	1.833	1833111.678	7876.775651	5	South Boston	South Boston	58	D Street/West Broadway	0	69	25025061200.0	South Boston	84259	3.041686	13.032926	061200
71	boston_income_73g.71	1085	275471.37	2399.399	25	25	70200	25025070200	15437	33	1.0	68.07	0.106	0.275	275471.878	2399.4064	17	Financial District	Boston	7	Chinatown/SCove/Bay Village	0	70	25025070200.0	Financial District	14706	9.407645	7.188826	070200
72	boston_income_73g.72	1086	444706.162	3678.352	25	25	70300	25025070300	15441	46	0.9765	107.31	0.168	0.434	444704.638	3678.336849	16	Back Bay	Boston	7	Chinatown/SCove/Bay Village	0	71	25025070300.0	Back Bay	99069	8.209118	15.035881	070300
73	boston_income_73g.73	1090	153778.266	2236.142	25	25	70700	25025070700	15455	20	1.0	38.0	0.059	0.154	153777.2043	2236.147167	3	South End	Boston	61A	South End - Columbus	0	73	25025070700.0	South End	81587	7.495566	13.443575	070700
74	boston_income_73g.74	1092	169188.664	1737.706	25	25	70900	25025070900	15462	22	1.0	41.81	0.065	0.169	169188.1466	1737.707482	3	South End	Boston	61B	South End - Shawmut	0	74	25025070900.0	South End	47543	6.334888	7.38639	070900
75	boston_income_73g.75	1093	368922.34	2777.635	25	25	71100	25025071100	15465	26	1.0	91.16	0.142	0.369	368922.9856	2777.613641	3	South End	Boston	61C	South End - Harrison Lenox	0	75	25025071100.0	South End	46250	4.754292	8.497807	071100
76	boston_income_73g.76	1095	1012109.453	5587.618	25	25	80100	25025080100	15472	51	1.0	250.1	0.391	1.012	1012113.446	5587.62013	4	Roxbury	Roxbury	53	Lower Roxbury	0	76	25025080100.0	Roxbury	32083	3.451568	8.034135	080100
77	boston_income_73g.78	1098	362170.211	2761.403	25	25	80500	25025080500	15482	30	1.0	89.49	0.14	0.362	362170.5274	2761.397571	4	Roxbury	Roxbury	61C	South End - Harrison Lenox	0	78	25025080500.0	Roxbury	16423	5.492775	6.549537	080500
78	boston_income_73g.79	1099	536159.367	5107.398	25	25	80600	25025080600	15486	26	1.0	132.49	0.207	0.536	536161.1159	5107.373822	4	Roxbury	Roxbury	53	Lower Roxbury	0	79	25025080600.0	Roxbury	16719	3.548017	2.055295	080600
79	boston_income_73g.80	1101	256093.075	2472.994	25	25	80900	25025080900	15493	17	1.0	63.28	0.099	0.256	256095.0795	2473.018008	6	Mission Hill	Mission Hill	47	Top/Back of Hill/Delle Av/RTH	0	80	25025080900.0	Mission Hill	39101	5.456092	8.320894	080900
80	boston_income_73g.81	1102	605370.126	4965.183	25	25	81000	25025081000	15498	41	1.0	149.59	0.234	0.605	605371.3611	4965.177168	6	Mission Hill	Mission Hill	47	Top/Back of Hill/Delle Av/RTH	0	81	25025081000.0	Mission Hill	32547	4.441223	8.768438	081000
81	boston_income_73g.82	1103	601673.479	4533.205	25	25	81100	25025081100	15503	22	0.961	142.89	0.223	0.578	601673.524	4533.171404	6	Mission Hill	Mission Hill	47	Top/Back of Hill/Delle Av/RTH	0	82	25025081100.0	Mission Hill	44118	3.438085	3.798671	081100
82	boston_income_73g.83	1104	285397.429	2429.937	25	25	81200	25025081200	15507	18	1.0	70.52	0.11	0.285	285397.4211	2429.928682	7	Jamaica Plain	Jamaica Plain	40	Hyde Square	0	83	25025081200.0	Jamaica Plain	21429	5.049345	6.437442	081200
83	boston_income_73g.91	1112	361544.45	2504.823	25	25	82100	25025082100	15543	20	1.0	89.34	0.14	0.362	361544.0443	2504.8216	4	Roxbury	Roxbury	55	Washington Park	0	91	25025082100.0	Roxbury	23793	5.069714	7.396447	082100
84	boston_income_73g.84	1105	573952.119	4073.793	25	25	81300	25025081300	15511	31	1.0	141.83	0.222	0.574	573955.6454	4073.784818	4	Roxbury	Roxbury	55	Washington Park	0	84	25025081300.0	Roxbury	17055	4.745954	4.395471	081300
85	boston_income_73g.85	1106	654572.633	4571.222	25	25	81400	25025081400	15516	42	1.0	161.75	0.253	0.655	654571.0702	4571.232605	4	Roxbury	Roxbury	52	Highland Park	0	85	25025081400.0	Roxbury	57756	4.046214	7.697157	081400
86	boston_income_73g.86	1107	350548.456	3583.202	25	25	81500	25025081500	15521	15	1.0	86.62	0.135	0.351	350548.6493	3583.19053	4	Roxbury	Roxbury	55	Washington Park	0	86	25025081500.0	Roxbury	53622	3.715331	8.90172	081500
87	boston_income_73g.87	1108	623291.694	3517.479	25	25	81700	25025081700	15524	33	1.0	154.02	0.241	0.623	623292.9202	3517.466891	4	Roxbury	Roxbury	55	Washington Park	0	87	25025081700.0	Roxbury	33937	4.248248	9.3572	081700
88	boston_income_73g.88	1109	370296.743	3053.494	25	25	81800	25025081800	15530	17	1.0	91.5	0.143	0.37	370296.3052	3053.490086	4	Roxbury	Roxbury	54	Sav-Mor	0	88	25025081800.0	Roxbury	46467	4.530189	2.77051	081800
89	boston_income_73g.89	1110	430681.069	3584.907	25	25	81900	25025081900	15534	28	1.0	106.42	0.166	0.431	430682.9105	3584.887061	4	Roxbury	Roxbury	55	Washington Park	0	89	25025081900.0	Roxbury	42791	3.85754	6.768461	081900
90	boston_income_73g.90	1111	385416.222	2560.27	25	25	82000	25025082000	15539	21	1.0	95.24	0.149	0.385	385414.7808	2560.266882	4	Roxbury	Roxbury	55	Washington Park	0	90	25025082000.0	Roxbury	31250	4.337243	11.468384	082000
91	boston_income_73g.92	1113	456973.451	3262.231	25	25	90100	25025090100	15548	34	1.0	112.92	0.176	0.457	456973.2277	3262.217475	1	Mattapan	Mattapan	30	Franklin Field North	0	92	25025090100.0	Mattapan	27181	4.696944	7.766527	090100
92	boston_income_73g.93	1114	274790.239	2483.455	25	25	90200	25025090200	15554	16	1.0	67.9	0.106	0.275	274790.6747	2483.43405	4	Roxbury	Roxbury	9	Dudley/Brunswick King	0	93	25025090200.0	Roxbury	31449	3.943752	8.132114	090200
93	boston_income_73g.94	1115	380934.578	2804.155	25	25	90300	25025090300	15558	22	1.0	94.13	0.147	0.381	380932.7131	2804.153345	4	Roxbury	Roxbury	9	Dudley/Brunswick King	0	94	25025090300.0	Roxbury	17936	4.010873	3.607465	090300
94	boston_income_73g.95	1116	429459.733	3106.994	25	25	90400	25025090400	15562	34	1.0	106.12	0.166	0.429	429461.202	3106.981606	4	Roxbury	Roxbury	9	Dudley/Brunswick King	0	95	25025090400.0	Roxbury	30580	5.201495	5.207666	090400
95	boston_income_73g.96	1117	301935.404	2702.696	25	25	90600	25025090600	15567	26	1.0	74.61	0.117	0.302	301933.6186	2702.690481	4	Roxbury	Roxbury	9	Dudley/Brunswick King	0	96	25025090600.0	Roxbury	49297	4.099438	8.030659	090600
96	boston_income_73g.97	1118	1081396.623	4303.137	25	25	90700	25025090700	15571	43	1.0	267.22	0.418	1.081	1081392.502	4303.121373	10	Dorchester	Dorchester	8	Columbia Pt/Savin Hill	0	97	25025090700.0	Dorchester	35060	3.297438	6.897321	090700
97	boston_income_73g.98	1121	426621.453	2708.127	25	25	91100	25025091100	15583	32	1.0	105.42	0.165	0.427	426619.4544	2708.108177	10	Dorchester	Dorchester	8	Columbia Pt/Savin Hill	0	98	25025091100.0	Dorchester	68063	5.374046	8.149782	091100
98	boston_income_73g.99	1123	259522.253	2461.11	25	25	91300	25025091300	15593	21	1.0	64.13	0.1	0.26	259523.5287	2461.102795	10	Dorchester	Dorchester	10	Uphams Corner/Jones Hill	0	99	25025091300.0	Dorchester	30345	4.64808	4.615873	091300
99	boston_income_73g.100	1126	315482.023	3108.351	25	25	91600	25025091600	15605	21	1.0	77.96	0.122	0.315	315482.4913	3108.339909	10	Dorchester	Dorchester	17	Meeting Housing Hill	0	100	25025091600.0	Dorchester	30489	4.9012	5.78934	091600
100	boston_income_73g.101	1128	433541.155	2682.401	25	25	91800	25025091800	15613	21	1.0	107.13	0.167	0.434	433541.5806	2682.416945	10	Dorchester	Dorchester	12	Bowdoin North/MtBowdoin	0	101	25025091800.0	Dorchester	41399	3.921332	8.832531	091800
101	boston_income_73g.102	1132	577381.513	3394.141	25	25	92200	25025092200	15633	36	1.0	142.67	0.223	0.577	577381.8808	3394.128675	10	Dorchester	Dorchester	16	Fields Corner West	0	102	25025092200.0	Dorchester	47679	3.938638	10.722032	092200
102	boston_income_73g.103	1134	601093.216	4093.696	25	25	92400	25025092400	15643	30	1.0	148.53	0.232	0.601	601096.1778	4093.685722	1	Mattapan	Mattapan	30	Franklin Field North	0	103	25025092400.0	Mattapan	24415	4.365547	3.343188	092400
103	boston_income_73g.104	1137	486909.228	3219.879	25	25	100300	25025100300	15659	31	1.0	120.32	0.188	0.487	486910.039	3219.884248	10	Dorchester	Dorchester	20	W Codman Hill/W. Lower Mills	0	104	25025100300.0	Dorchester	40673	4.131909	10.1735	100300
